year,education,age_group,employed,weight,rate
2007,less than hs,16-24,employed,4642110.091291666,0.33169520474063985
2007,less than hs,16-24,not employed,9352997.540491672,0.6683047952593602
2007,less than hs,25-34,employed,3224313.4379,0.6456198656668076
2007,less than hs,25-34,not employed,1769822.5999833324,0.3543801343331924
2007,less than hs,35-44,employed,3227496.0265250006,0.6686445246496217
2007,less than hs,35-44,not employed,1599427.5592416665,0.3313554753503783
2007,less than hs,45-54,employed,2775091.2585583334,0.5940659003152858
2007,less than hs,45-54,not employed,1896261.2918666657,0.4059340996847143
2007,less than hs,55+,employed,1677962.5749166673,0.39829573597900586
2007,less than hs,55+,not employed,2534893.4095749985,0.6017042640209942
2007,high school,16-24,employed,5940575.767891669,0.6405694629511841
2007,high school,16-24,not employed,3333322.0862500016,0.35943053704881583
2007,high school,25-34,employed,8481228.172825,0.7629710377739685
2007,high school,25-34,not employed,2634827.0283916662,0.2370289622260315
2007,high school,35-44,employed,9900090.138933333,0.7865666439007198
2007,high school,35-44,not employed,2686370.5452333335,0.21343335609928016
2007,high school,45-54,employed,10800646.911699988,0.765522116770941
2007,high school,45-54,not employed,3308216.4053500015,0.234477883229059
2007,high school,55+,employed,6078724.288524999,0.5506277558856617
2007,high school,55+,not employed,4960901.345216667,0.4493722441143384
2007,some college,16-24,employed,6153189.120450004,0.6182671577319018
2007,some college,16-24,not employed,3799125.2528750007,0.38173284226809817
2007,some college,25-34,employed,5798547.127058335,0.788430927475402
2007,some college,25-34,not employed,1555993.2961916674,0.21156907252459803
2007,some college,35-44,employed,5807449.008758336,0.8191072107882922
2007,some college,35-44,not employed,1282525.212283333,0.18089278921170782
2007,some college,45-54,employed,6018150.138608329,0.8025172956159908
2007,some college,45-54,not employed,1480940.748883333,0.1974827043840092
2007,some college,55+,employed,3743534.347216664,0.6091334444013928
2007,some college,55+,not employed,2402137.642433333,0.39086655559860717
2007,associate,16-24,employed,1138399.572033333,0.7720225257325372
2007,associate,16-24,not employed,336168.247025,0.22797747426746293
2007,associate,25-34,employed,3106841.443441668,0.8435423526680326
2007,associate,25-34,not employed,576247.4182083333,0.15645764733196743
2007,associate,35-44,employed,3540849.3250083346,0.8567594156422016
2007,associate,35-44,not employed,591990.3734666664,0.14324058435779838
2007,associate,45-54,employed,3612702.5111083356,0.8405910341064535
2007,associate,45-54,not employed,685109.819175,0.15940896589354653
2007,associate,55+,employed,1992442.2712249996,0.6562569708197221
2007,associate,55+,not employed,1043627.9875583329,0.3437430291802779
2007,bachelor's,16-24,employed,2010018.244366667,0.79150194662597
2007,bachelor's,16-24,not employed,529480.5565333335,0.20849805337403
2007,bachelor's,25-34,employed,7882031.112375009,0.8585313008278552
2007,bachelor's,25-34,not employed,1298800.273475,0.14146869917214477
2007,bachelor's,35-44,employed,7834595.01758333,0.8458191027239113
2007,bachelor's,35-44,not employed,1428136.2122416664,0.15418089727608866
2007,bachelor's,45-54,employed,7305006.652233339,0.8635058178809785
2007,bachelor's,45-54,not employed,1154700.8575083336,0.13649418211902148
2007,bachelor's,55+,employed,4320565.981108335,0.6969607389558802
2007,bachelor's,55+,not employed,1878586.6247916662,0.3030392610441199
2007,advanced degree,16-24,employed,136086.1440666667,0.7828465288822173
2007,advanced degree,16-24,not employed,37748.878566666666,0.21715347111778277
2007,advanced degree,25-34,employed,3014648.2679249984,0.8807584653469367
2007,advanced degree,25-34,not employed,408138.32628333336,0.11924153465306332
2007,advanced degree,35-44,employed,4019218.538666668,0.8926714179399564
2007,advanced degree,35-44,not employed,483242.79020833335,0.10732858206004356
2007,advanced degree,45-54,employed,4070518.17465,0.901214937924623
2007,advanced degree,45-54,not employed,446182.5627166666,0.09878506207537685
2007,advanced degree,55+,employed,3337768.7352999994,0.7477602794488957
2007,advanced degree,55+,not employed,1125919.4640249996,0.2522397205511043
2008,less than hs,16-24,employed,4005830.5110833305,0.292693960734512
2008,less than hs,16-24,not employed,9680241.114824997,0.707306039265488
2008,less than hs,25-34,employed,3004629.193649998,0.6236000830560111
2008,less than hs,25-34,not employed,1813569.6412916668,0.37639991694398894
2008,less than hs,35-44,employed,3041548.2606750014,0.6515592117205893
2008,less than hs,35-44,not employed,1626558.9596083343,0.3484407882794107
2008,less than hs,45-54,employed,2689480.5038499995,0.5799805133326614
2008,less than hs,45-54,not employed,1947710.6465833338,0.42001948666733857
2008,less than hs,55+,employed,1720663.4217333328,0.4054605942649875
2008,less than hs,55+,not employed,2523061.9761749995,0.5945394057350126
2008,high school,16-24,employed,5738536.824416667,0.6203711936834717
2008,high school,16-24,not employed,3511629.6611416657,0.3796288063165283
2008,high school,25-34,employed,8299705.415283327,0.7418776237273373
2008,high school,25-34,not employed,2887726.5139666665,0.2581223762726626
2008,high school,35-44,employed,9299626.868650006,0.7747147332078644
2008,high school,35-44,not employed,2704310.1549083344,0.22528526679213556
2008,high school,45-54,employed,10722022.102799999,0.7579441222867189
2008,high school,45-54,not employed,3424168.609058333,0.24205587771328108
2008,high school,55+,employed,6180341.6857916685,0.5553452193858508
2008,high school,55+,not employed,4948486.779908331,0.4446547806141491
2008,some college,16-24,employed,6215809.772041666,0.6075364973489467
2008,some college,16-24,not employed,4015361.193266666,0.3924635026510533
2008,some college,25-34,employed,5714215.671574995,0.7754760053136784
2008,some college,25-34,not employed,1654440.008833333,0.22452399468632162
2008,some college,35-44,employed,5722889.915166672,0.8049380843447651
2008,some college,35-44,not employed,1386836.9401916668,0.1950619156552349
2008,some college,45-54,employed,6010355.086625002,0.791840120590338
2008,some college,45-54,not employed,1580009.3447,0.20815987940966196
2008,some college,55+,employed,3846447.2317,0.6025341521991879
2008,some college,55+,not employed,2537335.6919083335,0.3974658478008122
2008,associate,16-24,employed,1113592.442625,0.7653606304519824
2008,associate,16-24,not employed,341398.0524666666,0.2346393695480176
2008,associate,25-34,employed,3115408.132658333,0.8415489438258984
2008,associate,25-34,not employed,586584.6694416667,0.15845105617410155
2008,associate,35-44,employed,3512714.153266668,0.8477196951807183
2008,associate,35-44,not employed,631007.1419166668,0.15228030481928165
2008,associate,45-54,employed,3780982.238024998,0.8295674652921472
2008,associate,45-54,not employed,776793.2247499999,0.17043253470785286
2008,associate,55+,employed,2210341.5961666666,0.6645054674442198
2008,associate,55+,not employed,1115953.9792000002,0.3354945325557803
2008,bachelor's,16-24,employed,2064821.6609166663,0.7759233803545003
2008,bachelor's,16-24,not employed,596293.7445416668,0.2240766196454998
2008,bachelor's,25-34,employed,8065590.458599996,0.8623734213879342
2008,bachelor's,25-34,not employed,1287191.36255,0.13762657861206581
2008,bachelor's,35-44,employed,7730330.578716669,0.8464681729533724
2008,bachelor's,35-44,not employed,1402122.1533749995,0.15353182704662757
2008,bachelor's,45-54,employed,7367169.946550003,0.8562795250855358
2008,bachelor's,45-54,not employed,1236527.4801916664,0.1437204749144642
2008,bachelor's,55+,employed,4474483.961599997,0.6872157825241099
2008,bachelor's,55+,not employed,2036548.0539416668,0.3127842174758901
2008,advanced degree,16-24,employed,144879.98419166668,0.7221569437672632
2008,advanced degree,16-24,not employed,55741.204099999995,0.27784305623273664
2008,advanced degree,25-34,employed,3091444.0121666673,0.8674165601519747
2008,advanced degree,25-34,not employed,472523.00689166674,0.13258343984802531
2008,advanced degree,35-44,employed,4151263.9718833324,0.8944281409808482
2008,advanced degree,35-44,not employed,489985.31543333345,0.10557185901915173
2008,advanced degree,45-54,employed,4032455.1177166663,0.9040263204644201
2008,advanced degree,45-54,not employed,428095.4508166667,0.09597367953557988
2008,advanced degree,55+,employed,3472543.866125002,0.7447205231112213
2008,advanced degree,55+,not employed,1190338.0585166668,0.25527947688877867
2009,less than hs,16-24,employed,3403640.323716665,0.2526576492805851
2009,less than hs,16-24,not employed,10067712.44714999,0.747342350719415
2009,less than hs,25-34,employed,2749845.6036999994,0.5710533385135157
2009,less than hs,25-34,not employed,2065546.26645,0.4289466614864842
2009,less than hs,35-44,employed,2793221.417691668,0.6080505686353563
2009,less than hs,35-44,not employed,1800510.6858083338,0.39194943136464355
2009,less than hs,45-54,employed,2601425.5512583326,0.5428776111021547
2009,less than hs,45-54,not employed,2190493.4707416655,0.4571223888978453
2009,less than hs,55+,employed,1614694.1416250002,0.3817655749613909
2009,less than hs,55+,not employed,2614849.4514249996,0.6182344250386091
2009,high school,16-24,employed,5065325.987741669,0.5494449327801143
2009,high school,16-24,not employed,4153661.5495750005,0.45055506721988575
2009,high school,25-34,employed,7696084.039683327,0.6915386307317711
2009,high school,25-34,not employed,3432844.551825,0.30846136926822887
2009,high school,35-44,employed,8712698.557700004,0.734150264482478
2009,high school,35-44,not employed,3155033.402924999,0.2658497355175219
2009,high school,45-54,employed,10330691.481083333,0.7234872727885358
2009,high school,45-54,not employed,3948331.619441666,0.2765127272114643
2009,high school,55+,employed,6100645.339208336,0.53592204241961
2009,high school,55+,not employed,5282811.313675002,0.46407795758039
2009,some college,16-24,employed,5916692.208324996,0.5674564559224935
2009,some college,16-24,not employed,4509997.181800001,0.4325435440775065
2009,some college,25-34,employed,5503701.899925002,0.7307917722017394
2009,some college,25-34,not employed,2027447.3402249992,0.2692082277982607
2009,some college,35-44,employed,5236643.340291665,0.76992637934584
2009,some college,35-44,not employed,1564842.465066667,0.23007362065416004
2009,some college,45-54,employed,5649415.406975001,0.7526630305902938
2009,some college,45-54,not employed,1856487.2046416656,0.24733696940970623
2009,some college,55+,employed,3772489.8765000007,0.5785418957846283
2009,some college,55+,not employed,2748195.8404499986,0.4214581042153717
2009,associate,16-24,employed,1119724.9589416662,0.733890772726433
2009,associate,16-24,not employed,406012.9308833333,0.266109227273567
2009,associate,25-34,employed,3000564.1829916653,0.7988192131884554
2009,associate,25-34,not employed,755685.2079249999,0.2011807868115446
2009,associate,35-44,employed,3428336.3793249982,0.8110265116076859
2009,associate,35-44,not employed,798820.6004500001,0.1889734883923141
2009,associate,45-54,employed,3829075.0597750023,0.8121952811290541
2009,associate,45-54,not employed,885400.8165833332,0.18780471887094582
2009,associate,55+,employed,2252021.1034,0.6386343600771851
2009,associate,55+,not employed,1274286.3491583336,0.36136563992281495
2009,bachelor's,16-24,employed,2032379.598249999,0.7512608064131029
2009,bachelor's,16-24,not employed,672912.0673083336,0.24873919358689717
2009,bachelor's,25-34,employed,7896599.990583334,0.838861915337654
2009,bachelor's,25-34,not employed,1516868.240841667,0.16113808466234608
2009,bachelor's,35-44,employed,7322144.949641667,0.8257766000165617
2009,bachelor's,35-44,not employed,1544835.477625,0.17422339998343842
2009,bachelor's,45-54,employed,7146773.635850005,0.8339384058637883
2009,bachelor's,45-54,not employed,1423132.2296166662,0.1660615941362117
2009,bachelor's,55+,employed,4642443.255991669,0.6792133983669452
2009,bachelor's,55+,not employed,2192585.7159833326,0.3207866016330547
2009,advanced degree,16-24,employed,151243.85316666667,0.6889752986203659
